Size,Time (seconds)
1000,0.0001773
2000,0.0003534
3000,0.0006506
4000,0.0016421
5000,0.001877
6000,0.0010401
7000,0.0021273
8000,0.0020649
9000,0.0018586
10000,0.002045
11000,0.002499
12000,0.0020789
13000,0.0022632
14000,0.0026239
15000,0.0034454
16000,0.0062839
17000,0.003039
18000,0.0047903
19000,0.0094693
20000,0.0034595
21000,0.0036532
22000,0.0084649
23000,0.004054
24000,0.0080165
25000,0.0047085
26000,0.0050838
27000,0.0053466
28000,0.0048479
29000,0.0118558
30000,0.0065788
31000,0.0053847
32000,0.0055313
33000,0.0059909
34000,0.0060364
35000,0.006117
36000,0.0068435
37000,0.00646
38000,0.006611
39000,0.0067831
40000,0.0078899
41000,0.0074979
42000,0.0073566
43000,0.0075197
44000,0.0076101
45000,0.0081068
46000,0.0082557
47000,0.008194
48000,0.0084021
49000,0.0086602
50000,0.0088037
51000,0.009647
52000,0.009671
53000,0.0116938
54000,0.010174
55000,0.0101951
56000,0.0098744
57000,0.0182189
58000,0.0102714
59000,0.0211946
60000,0.0215574
61000,0.0107772
62000,0.0110247
63000,0.0110812
64000,0.0112531
65000,0.0115829
66000,0.0121125
67000,0.0124518
68000,0.0119064
69000,0.0124986
70000,0.0130565
71000,0.0131788
72000,0.0127785
73000,0.0129669
74000,0.0135679
75000,0.0131936
76000,0.0133387
77000,0.022613
78000,0.0137368
79000,0.0148975
80000,0.0146815
81000,0.0148299
82000,0.0150678
83000,0.0150481
84000,0.0154564
85000,0.0155971
86000,0.0157301
87000,0.0157442
88000,0.0161323
89000,0.0169072
90000,0.0162389
91000,0.0164652
92000,0.0165435
93000,0.0168509
94000,0.0173924
95000,0.0177983
96000,0.0173437
97000,0.0175848
98000,0.0173775
99000,0.0176732
100000,0.0187138
